Time,Ecoregion,EcoregionIndex,NumSites,SppBiomass_Abiebrac,SppBiomass_Abiegran,SppBiomass_Acermacr,SppBiomass_Aesccali,SppBiomass_Alnurhom,SppBiomass_Alnurubr,SppBiomass_Arbumenz,SppBiomass_Lithdens,SppBiomass_Pinuatte,SppBiomass_Pinucoul,SppBiomass_Pinulamb,SppBiomass_Pinumono,SppBiomass_Pinupond,SppBiomass_Pinuradi,SppBiomass_Pinusabi,SppBiomass_Platrace,SppBiomass_Popubals,SppBiomass_Pseumacr,SppBiomass_Pseumenz,SppBiomass_Queragri,SppBiomass_Querchry,SppBiomass_Querdoug,SppBiomass_Quergarr,SppBiomass_Querkell,SppBiomass_Querloba,SppBiomass_Querwisl,SppBiomass_Sequsemp,SppBiomass_Umbecali,
0, BS0, 0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
0, BS1, 1, 1268, 0, 0, 0.0148038382785929, 0.525332303453319, 0, 0, 7.73704352222783, 35.4280982152897, 0, 3.01416981934749, 0, 0, 0.518716613576991, 5.98866823118192, 0.155556988640915, 0.313894025158807, 0, 0, 0.149643711487201, 120.640521485723, 27.6674022072873, 0, 0, 3.33760553353968, 0, 7.4528269662466, 239.99943576175, 19.1321370037572, 
0, BS2, 2, 1621, 0, 0, 0, 0, 0, 0.199648462350835, 1.72020927584517, 0, 0, 2.70211703508155, 1.00259005942512, 2.4890136812882, 0, 0.087411248632451, 1.0947520722584, 0, 0, 2.19544624267428, 0, 51.4634065433905, 73.5602028792026, 3.29292978878598, 0, 0, 0, 7.29662762123593, 0, 12.3251857110411, 
0, BS3, 3, 280318, 7.31574766373541, 0, 7.51100850190891, 3.90332759739288, 3.34197330589845, 4.02565513281352, 137.798758163527, 265.979331065334, 1.3930620351571, 41.2144346690685, 0.387675251229742, 0.256881568447147, 22.406333953782, 54.143225434482, 3.99885352334089, 6.9167846459938, 0.0263457528636074, 0.801279486548675, 28.6394000960784, 1590.80379953309, 768.237907624205, 2.8457399733442, 0.240706021971883, 49.8545990745232, 6.43384841426754, 122.071571821332, 1716.5722283524, 402.447443063741, 
0, BS4, 4, 236621, 3.930295654163, 0, 8.90904516387056, 5.11945283028586, 3.12964837704806, 0.406017488429339, 176.920437537091, 305.829036650691, 0.177424984795715, 23.3393156164237, 0, 0, 13.6404822431595, 5.2334523491882, 9.13902285407143, 6.13476427530384, 0.0342118996464811, 0, 25.5958852131022, 2372.43282935086, 166.244723880429, 4.0433237714211, 0.861574642973239, 70.1783233927865, 4.37924296372451, 174.735135596669, 3203.81944926838, 505.945799330939, 
0, BS5, 5, 44658, 2.34376933820367, 0, 8.65430634511404, 1.08853292646728, 1.61932036286104, 3.5779546084804, 143.831782568712, 163.117790593746, 3.46155108386454, 93.2082365315249, 0.19142137143331, 0.286276382746285, 13.148051331135, 0.510749696964508, 19.9943069973263, 9.61323951025187, 0.0111329345484449, 0.386604420811711, 46.6850810126348, 1227.0730562729, 528.373210971902, 12.5933252676532, 0.36955127701543, 21.9192147959447, 6.82516083688944, 207.017741130573, 1659.53768156626, 325.529858696247, 
0, BS6, 6, 713, 0, 0, 18.991510046147, 0.445992607555416, 0.711946634557438, 27.1158080883481, 77.1103937167774, 192.658201006318, 13.8734328228494, 8.76416533524993, 0, 0, 0.166203449350921, 10.4270238568706, 11.382590273821, 1.61533581491607, 0, 0, 288.209707096951, 1025.46263829856, 593.468987303061, 1.16777286823802, 0, 6.56859752339367, 3.06546230235909, 15.8555136275325, 1334.37697161531, 545.42559188479, 
0, BS7, 7, 5845, 0.0442547141434904, 0, 0.352776679307401, 0.0308777612534418, 0.138734956844124, 0, 5.51836857946639, 16.8277181281097, 0.0715089362334553, 0.72560660539273, 0, 0, 0.180277346830474, 21.1247843504972, 1.15017522937523, 0.634914766936551, 0, 0, 1.04190460413924, 695.539852150818, 6.90213464585199, 0.0854543694071121, 0, 1.44696543149402, 0.316418378714112, 3.3046786410264, 187.843504277369, 67.8211603874422, 
0, BS8, 8, 5963, 0.302268602255105, 0, 1.23895411464006, 0.429141896574285, 0.471943659688849, 0.871492755946828, 18.9305712533401, 34.7308591759167, 0.0415908682972078, 11.9365578356674, 0, 0, 2.38657833613067, 0.568648102098356, 6.59244438835424, 2.0187801455124, 0, 0, 0.259886024983042, 538.971633284199, 174.53215770731, 3.54096953132779, 0, 3.70329034662319, 4.51933330540367, 6.92364367866164, 164.618883705171, 50.4408734718385, 
0, BS9, 9, 38501, 1.31484435623378, 0, 2.55962658459786, 2.13097896889517, 0.681319425528441, 2.0695324275516, 57.5843034456966, 74.1387296131545, 0.0150266718528187, 37.9373442295951, 0, 0.116391407230025, 3.51148405451827, 3.66025359705948, 14.3004382080402, 2.9776909031257, 0, 0, 0.73991553106759, 1151.59139837552, 311.015561791712, 5.57567535619953, 0.240075667106759, 14.913492143261, 6.24857426925726, 28.3590202566364, 460.136410543942, 152.326285948429, 
0, BS10, 10, 8198, 0.216803047010799, 0, 0.884015538251002, 1.18005713383492, 0.422280029832924, 1.63451906470852, 6.84246047783782, 20.3951556319055, 0, 0.987763808977025, 0.5797295143442, 0, 0.681707386390033, 8.1879718910342, 4.28788230395311, 1.17394448396897, 0, 1.20767456858761, 0.0127916608272049, 1145.01540082348, 178.696196551205, 0, 0, 1.62958589708785, 1.39412290708528, 2.39018284969139, 43.4665419873333, 118.743126459022, 
0, BS11, 11, 44097, 0.921802808906626, 0, 3.7427617944222, 2.3227085569244, 1.73539830463085, 8.79183402925342, 123.078826831607, 121.32928576505, 0.0315410785210939, 215.660297049242, 2.08874452201964, 1.36040407672102, 7.95835966008195, 17.4611192512889, 7.44913157693982, 13.0510342264455, 0, 4.20329731632112, 1.53171383879592, 701.741752228829, 589.707947150016, 15.724310755408, 0.562809891794497, 18.8406620456007, 16.5558895463427, 33.6442877834372, 911.717597314873, 197.862952298214, 
0, BS12, 12, 101947, 4.10435898458547, 0, 8.47641365820345, 4.92476203246646, 3.49630034137444, 2.14013601752851, 177.084396102642, 271.169505075759, 0.127249878452648, 30.4639328775097, 0.0590255000760199, 0.0576452740771936, 22.18101460791, 12.9573117921399, 4.28713866061355, 6.43001212588413, 0.093364903229627, 0.119582284675187, 26.338170666369, 1880.57410669698, 397.767047979405, 8.03739308577044, 0.637867333281028, 64.0053575602502, 7.89878309981539, 142.170791450933, 2182.66837587755, 424.74834132546, 
0, BS13, 13, 40960, 0.173414529161528, 0, 0.600878015140188, 0.917261197138578, 0.0503978222608566, 0.29301969408989, 10.7102323214931, 13.1458087587729, 0.00386744542047381, 5.48254723008722, 0.130385917425156, 0, 0.446968470141292, 4.5482241762802, 4.93526130635291, 3.20806236285716, 0, 0.285511082410812, 0.271379926986992, 710.349911987036, 8.117455480434, 8.24605417400599, 0.227495313435793, 5.48639710508287, 3.3010135691613, 1.86341051552445, 105.089965867996, 49.1911636121571, 
0, BS14, 14, 9639, 0.102538374675138, 0, 4.41657604136919, 2.57847232306099, 0.365069771940894, 3.37622816551027, 39.5358725100314, 60.7106444620718, 0.0340579868241061, 10.3215008983104, 0, 0, 4.58945309872177, 2.24033294054022, 8.8965230696997, 4.8104684265561, 0, 0, 1.36484827136014, 1137.64214903706, 345.407997162612, 8.29173203456549, 0.158700038491597, 28.7593638197195, 9.05247613119503, 17.1452258221155, 342.532124773919, 145.672026015946, 
0, BS15, 15, 7283, 0.0958515802582722, 0, 2.47727993659785, 1.09974182665258, 0.442445406428605, 1.55221336791104, 28.5584125178832, 68.701249674292, 0, 9.535406272686, 0.636121254119182, 0, 3.15921453779483, 11.6435880481616, 0.332358704283721, 2.53426562111145, 0, 1.330542236898, 0.0182323715082158, 499.021582709651, 32.526665792972, 4.36771533509851, 0.29789318842628, 20.8194211985766, 6.36259761099532, 8.32741648558648, 357.537378468553, 46.0572005118313, 
0, BS16, 16, 55866, 7.85894117589899, 0, 20.3834338024399, 0.639450547036485, 14.3789824240404, 1.13755665543094, 221.900862176993, 538.292886518303, 1.3623121857912, 23.6962118161095, 0, 0, 35.7622976818296, 33.455022776997, 7.15415494908786, 9.02614083486584, 0, 0, 69.8013802230224, 1990.72789266102, 302.935394389807, 2.38759027169094, 0.10544754185098, 95.6743254417278, 3.44735206306563, 189.773081982997, 4481.89163520962, 474.58625936585, 
0, BS17, 17, 2090, 0, 0, 0, 0, 0.176423053650194, 0, 0.00226134466782711, 2.16454155661843, 0, 2.12076230590994, 0, 0, 0, 33.6495535928097, 0.188265582363001, 0.809986373682342, 0, 0, 0.360191538687528, 971.368529776979, 0, 0, 0, 0, 0, 3.71770583157334, 141.649788669422, 73.2509705757981, 
10, BS0, 0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
10, BS1, 1, 1268, 0, 0, 0.0173742086729417, 0.85239956732428, 0, 0, 10.7405987704402, 38.3612947313567, 0, 5.39406728894929, 0, 0, 0.664020490195097, 9.26575898372036, 0.265568946814311, 0.408952009038594, 0, 0, 0.174110403572347, 128.741115786676, 30.267007911995, 0, 0, 3.53575466408715, 0, 8.57893648358174, 242.328312245077, 22.3083286225232, 
10, BS2, 2, 1621, 0, 0, 0, 0, 0, 0.250017715632952, 2.26892892789282, 0, 0, 4.80855521237975, 1.12693527758232, 3.77065977911976, 0, 0.144893224999759, 1.8513836163492, 0, 0, 2.4700567773799, 0, 54.6119141905195, 75.6954184925755, 4.19268456187828, 0, 0, 0, 8.07976042966943, 0, 15.0356254224642, 
10, BS3, 3, 280318, 7.60583478480316, 0, 7.76726271468801, 4.49464591685827, 3.65059260154279, 4.5218687759896, 153.352184568013, 289.520556957343, 1.81081922637805, 50.8375997100447, 0.396414519382061, 0.278350504699763, 23.1940845451698, 52.2209275927437, 5.17313295242897, 7.57062911293273, 0.0296678994143342, 0.831118382512088, 29.5537795933278, 1671.24066718603, 784.335547836713, 3.08495570069108, 0.258849880029702, 51.1465425844405, 6.89579151603106, 127.059884721134, 1727.28912552504, 465.780022615732, 
10, BS4, 4, 236621, 4.31049667067179, 0, 9.80797002245201, 5.87583893704002, 4.07783605468587, 0.464496323505559, 197.620294846576, 329.915792117379, 0.188125368439645, 27.0843629771542, 0, 0, 14.4405779821735, 5.5664458679996, 11.8097589257028, 6.46969412953665, 0.0380627414915319, 0, 26.2458159445157, 2475.15550943858, 171.569031632718, 4.28883826613588, 0.928075797055413, 72.3169023672906, 4.62654171213838, 181.941467140191, 3223.35407904944, 564.211768703738, 
10, BS5, 5, 44658, 2.38563487477328, 0, 9.26405257218587, 1.22530378461007, 1.92041592860842, 4.11499419240744, 161.502586616405, 177.282450226867, 4.56944687875056, 127.095535225274, 0.196356365452089, 0.309959131101012, 13.8860716209222, 0.506792303536602, 24.3906619551894, 10.3283117838353, 0.0135121644277324, 0.401420599070295, 48.0080956853644, 1293.60515102838, 537.310864785744, 13.8620855394717, 0.382800062812444, 22.5416770424929, 7.26005657967731, 214.204048453147, 1668.57471793361, 381.78269813051, 
10, BS6, 6, 713, 0, 0, 20.8367681944688, 0.471155399359961, 0.990257744702183, 30.9649442482797, 88.1222001887638, 216.086190136753, 18.1377379643466, 12.5892718022201, 0, 0, 0.196432854651067, 9.70739354191121, 14.1602390283956, 2.07558649820165, 0, 0, 300.601726767391, 1138.75019626698, 614.235569685071, 1.37112174228064, 0, 6.96916646007736, 3.32647925506635, 18.5381496798608, 1344.43050205825, 662.575052392433, 
10, BS7, 7, 5845, 0.0538373726876604, 0, 0.467802316944654, 0.0344991196109455, 0.228924544883447, 0, 6.97784438586011, 18.1809568145726, 0.0776513738444567, 1.2684669618631, 0, 0, 0.206702785312467, 28.5241862810199, 1.68753153961678, 0.754048131937854, 0, 0, 1.1015666977986, 765.381702665226, 7.34629124493758, 0.0921984017456159, 0, 1.55124885291498, 0.341350154044589, 3.59872195828767, 188.418248300414, 75.56731086124, 
10, BS8, 8, 5963, 0.29827649405833, 0, 1.38926710083683, 0.521746648071637, 0.496164882620889, 0.99447900009859, 22.3640563941814, 38.8144723321895, 0.0515923232174991, 16.0103083394147, 0, 0, 2.44338731959265, 0.793502472399786, 8.82447745594906, 2.08121839386094, 0, 0, 0.291757880771758, 569.556822979428, 174.136023415708, 3.96663274641867, 0, 3.89445390434208, 4.89529029734879, 7.30853847495346, 165.737473483536, 60.4793327250937, 
10, BS9, 9, 38501, 1.31901396079168, 0, 2.89858635800624, 2.50406111753413, 0.778737200721171, 2.44452091994922, 67.747082056657, 80.8428696147163, 0.0161806519088929, 56.0402277317831, 0, 0.139411201594957, 3.88088511234166, 4.57700745272533, 19.9905039252085, 3.33667791519211, 0, 0, 0.769362847280702, 1203.51508623765, 315.869383069962, 6.28253967819398, 0.281304682512685, 15.8814487841212, 6.86425504894747, 30.579182202313, 463.227933640573, 178.882335464978, 
10, BS10, 10, 8198, 0.226100103132141, 0, 0.99198034769967, 1.43056409863269, 0.480468731387181, 1.97301921113929, 8.40796480274224, 23.7364981112232, 0, 1.48826237474019, 0.606882669077061, 0, 0.887117334213685, 10.5698976686566, 6.3297385248099, 1.35936312688272, 0, 1.27433460809801, 0.0144802744023885, 1223.82874381295, 182.147341781955, 0, 0, 1.89371142232671, 1.59357743497068, 2.6744543998292, 43.4050335852685, 136.743011425285, 
10, BS11, 11, 44097, 0.946659854889176, 0, 3.91465973061986, 2.64472192859051, 1.80394234049468, 9.97753420011698, 137.169218749233, 131.940290780858, 0.0352563768281259, 259.216946389471, 2.13540051131951, 1.47350714816948, 8.15927625971402, 16.7948563252187, 9.66718614613153, 13.0021467429671, 0, 4.34778105808466, 1.6472022799696, 731.520424699903, 580.03758192669, 17.2002703129933, 0.586475199214033, 19.3051001492559, 17.8525316831106, 35.406789104606, 920.024945229747, 242.410112881121, 
10, BS12, 12, 101947, 4.40674205555406, 0, 9.11953315741224, 5.74281477842801, 3.94825893644085, 2.42547269967454, 198.488299749511, 292.642652897437, 0.146432749495197, 36.1012725445791, 0.0607463936913911, 0.0625234173551116, 23.0011751885746, 12.9391898396066, 5.57852698228851, 6.72777581485487, 0.104901813102699, 0.124576849578549, 27.2838780318581, 1975.64292999626, 407.546639113957, 8.73802739315431, 0.702577017486146, 65.8316327759892, 8.48874273890166, 147.42961953218, 2195.55713096935, 479.321292729956, 
10, BS13, 13, 40960, 0.200780003238469, 0, 0.829761214368045, 1.07163162976503, 0.0636132143437862, 0.360950704663992, 13.1006058859406, 14.0195461247116, 0.00415131570771337, 9.24827838884667, 0.1426976531744, 0, 0.500425421446562, 6.40340146552771, 7.36533630918711, 3.87701935507357, 0, 0.312586531043053, 0.286386159807444, 752.030079019582, 8.46029736660421, 9.71721560098231, 0.242246658727527, 6.07358479835093, 3.63873871564865, 2.05449672825634, 105.654603476077, 55.0995150456205, 
10, BS14, 14, 9639, 0.112145360073418, 0, 5.33321520317292, 2.98848597485688, 0.410244285250269, 3.90800813100486, 45.4890411303046, 64.5883273969536, 0.0359725481198158, 14.9876227607889, 0, 0, 4.8693894751278, 2.99229041411306, 12.0776433373823, 5.21294195541444, 0, 0, 1.43873688086074, 1205.75786848214, 341.322588960861, 8.94889558787563, 0.191455919028491, 30.2950656960918, 9.81161827343061, 19.0035882274668, 345.642965368023, 177.396710944035, 
10, BS15, 15, 7283, 0.111976799001802, 0, 3.29350819732402, 1.28605665788044, 0.483635270332023, 1.86592238862387, 34.0647836291952, 72.4795245645008, 0, 15.8445635450814, 0.668781088289939, 0, 3.39943313860523, 14.4368472515055, 0.478057065180954, 2.77145761188432, 0, 1.41014317642541, 0.0305213472533157, 534.193846432697, 32.8033039973494, 4.87720727822323, 0.315276255274349, 22.0750348888451, 7.14295143212294, 9.54930859981748, 359.392783078423, 54.6370538651051, 
10, BS16, 16, 55866, 8.57614386385128, 0, 20.6557045948432, 0.730230211276986, 16.6415977015069, 1.31599960734115, 248.252296333736, 568.083148461247, 1.48805333245638, 31.8531421049493, 0, 0, 37.3192372224267, 34.21230292514, 9.08993091159215, 9.52303666535533, 0, 0, 71.3821370773471, 2109.219072261, 312.407381212537, 2.59104384750504, 0.115206828278006, 97.0328338929501, 3.70235212045612, 198.363626788127, 4509.95204479158, 541.0939299116, 
10, BS17, 17, 2090, 0, 0, 0, 0, 0.307755275890588, 0, 0.00205414911206259, 2.31467445044997, 0, 3.88306133153906, 0, 0, 0, 52.435283211886, 0.306505705180921, 0.982486838016784, 0, 0, 0.435685248123972, 1102.53576258609, 0, 0, 0, 0, 0, 4.49392938203218, 140.553081282474, 78.8113357142398, 
20, BS0, 0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, BS1, 1, 1268, 0, 0, 0.0158542849664056, 1.07145220398527, 0, 0, 12.924635514852, 40.6328943114175, 0, 6.50667742656232, 0, 0, 0.788105203526253, 10.1893263675437, 0.346875897717401, 2.02547542680325, 0, 0, 0.200023596971193, 149.651273495767, 32.1786868579756, 0, 0, 3.67592619646235, 0.370271424013733, 9.29124892923734, 242.871803428096, 24.6379795736319, 
20, BS2, 2, 1621, 0, 0, 0, 0, 0, 0.281617622916747, 2.66630654920405, 0, 0, 6.41007817696084, 1.18902267841996, 4.52063222669805, 0, 0.197428962759292, 3.22933119597956, 0.993813403516107, 0, 2.61637118773134, 0, 72.7460557065725, 76.8685550866195, 5.6588142296181, 0, 0, 0.557175068558182, 8.74425936304148, 0, 17.500475441652, 
20, BS3, 3, 280318, 7.89127525208094, 0, 8.276048347515, 6.27796389377735, 3.79372142105092, 4.93239598018426, 173.319569712516, 309.66535024288, 2.34914428646379, 59.1446040696697, 0.400870343151572, 0.294555457431591, 24.0308532695928, 45.0817752509463, 7.974947808671, 9.81860927965131, 0.0342215838220802, 0.853330494156413, 30.4958277074104, 1793.37674298821, 793.041044077058, 4.08215536482424, 0.277960422203882, 52.6509537641214, 11.1103864621292, 135.352921918657, 1732.62740607944, 527.590936527826, 
20, BS4, 4, 236621, 4.71552008258457, 0, 11.3125484115635, 7.84575498007316, 4.9651859108738, 0.512025000508254, 226.363787996551, 349.946992174204, 0.177905307852173, 29.9141444849895, 0, 0, 15.2510127457228, 5.35445210341027, 18.1329681539071, 7.69435519844771, 0.0443947755082478, 0, 26.7937448237282, 2613.31238854599, 175.15416334499, 5.57776224326176, 0.992450753947678, 74.5856447056336, 6.49565738048335, 191.229902375172, 3227.29999827791, 614.948195747022, 
20, BS5, 5, 44658, 2.40291755643297, 0, 10.2772710129964, 1.69150690120762, 2.11076790487042, 4.40669854170231, 185.318177749309, 190.19122590258, 5.78288079576596, 154.385957511819, 0.197862998152277, 0.324191097075185, 14.6037702974286, 0.609405366725974, 32.0258701705886, 13.8959279220954, 0.0158629835337978, 0.409978165874885, 49.0024878564975, 1405.67666872944, 541.345894816997, 17.7850488862774, 0.395718028645855, 23.1623793955672, 11.1676294994427, 221.624668238534, 1670.71896627517, 431.600147039145, 
20, BS6, 6, 713, 0, 0, 22.952480235909, 0.807525551837424, 1.26093100698934, 32.3160948251775, 102.943217728282, 234.54566246129, 23.3486852819756, 15.6350747545839, 0, 0, 0.234155534527579, 9.17570830528398, 18.9171225907592, 4.00716692802782, 0, 0, 310.249544194504, 1286.56242883155, 624.774604529853, 1.5255126953125, 0, 7.33127259071211, 4.55283908924247, 22.2708137373102, 1349.46911043271, 757.489437285179, 
20, BS7, 7, 5845, 0.0610846846607427, 0, 0.586259019915317, 0.0376347368042932, 0.293888242801506, 0, 8.347751662464, 19.2966756763572, 0.0742536115687153, 1.64443611156441, 0, 0, 0.227436836444995, 30.1074876042897, 2.13897454985397, 0.839964836127132, 0, 0, 1.1357254831071, 861.803148684408, 7.66780037206906, 0.168930917810027, 0, 1.62627654846557, 0.468332490684438, 3.78876544570597, 188.006579542853, 80.9099739746929, 
20, BS8, 8, 5963, 0.289088725643871, 0, 1.56141463482358, 0.663440095004911, 0.470804350419711, 1.10012512872348, 26.0137232297942, 42.3884966893622, 0.0632297292604115, 19.0978594032606, 0, 0, 2.47484380199708, 1.06510218265731, 13.9862105598111, 3.50433392215251, 0, 0, 0.327203791872799, 658.745344223081, 172.054787144012, 5.53878998200645, 0, 4.08394012118513, 9.94551462521794, 7.61267926991636, 166.271324611922, 69.3867385495775, 
